title,link,relevance_score
Actuarial Intern at ACRE Africa,https://www.myjobmag.co.ke/job/actuarial-intern-acre-africa-1,80
Internship – Data Analysis & Reporting Assistant at DanChurchAid (DCA),https://www.myjobmag.co.ke/job/internship-data-analysis-reporting-assistant-danchurchaid-dca-1,80
"GRADUATE INTERNS – ACCOUNTS, REAL ESTATE, COMMUNICATION & ADMINISTRATION",https://www.brightermonday.co.ke/listings/graduate-interns-accounts-real-estate-communication-administration-gwvzvr,70
"Human Resource Graduate Trainee Programme (2026 Intake), (Consulting Industry)",https://www.brightermonday.co.ke/listings/human-resource-graduate-trainee-programme-2026-intake-5dm5x5,20
Sales Beautician,https://www.brightermonday.co.ke/listings/sales-beautician-jqnw0v,0
Recruitment and Staff Welfare Manager,https://www.brightermonday.co.ke/listings/recruitment-and-staff-welfare-manager-vw2qej,0
Sales Executive,https://www.brightermonday.co.ke/listings/sales-executive-7wkm5q,0
Waste Kiosk Operator - Pipeline,https://www.brightermonday.co.ke/listings/waste-kiosk-operator-pipeline-pmx76j,0
Digital Marketing & Communications Manager,https://www.brightermonday.co.ke/listings/digital-marketing-communications-manager-204dqg,0
Procurement & Storage Manager,https://www.brightermonday.co.ke/listings/procurement-storage-manager-jqnwr5,0
Zonal Field Operations Manager,https://www.brightermonday.co.ke/listings/zonal-field-operations-manager-mgz4pg,0
SALESPERSON/SHOP ATTENDANT (ELECTRONICS & HOME APPLIANCES),https://www.brightermonday.co.ke/listings/salespersonshop-attendant-r8g824,0
SENIOR MECHANIC,https://www.brightermonday.co.ke/listings/senior-mechanic-np4240,0
Front Desk Concierge,https://www.brightermonday.co.ke/listings/front-desk-concierge-9jpw6v,0
ACCOUNTANT & PRINCIPAL OFFICER,https://www.brightermonday.co.ke/listings/accountant-principal-officer-d754z2,0
Customer Service,https://www.brightermonday.co.ke/listings/customer-service-r8g5k2,0
Sales Engineer at Senga Technologies,https://www.myjobmag.co.ke/job/sales-engineer-senga-technologies-1,0
Business Development Executives – Commercial & Industrial (Solar Solutions) - 11 openings,https://www.brightermonday.co.ke/listings/business-development-executives-commercial-industrial-solar-solutions-11-openings-k8w8rz,0
RIDER (ELECTRIONICS & HOME APPLIANCES),https://www.brightermonday.co.ke/listings/rider-4nxnjm,0
ICT Assistant III - 3 Posts at Kenya Rural Roads Authority,https://www.myjobmag.co.ke/job/ict-assistant-iii-3-posts-kenya-rural-roads-authority,0
Assistant Records and Information Management Officer III at Kenya Rural Roads Authority,https://www.myjobmag.co.ke/job/assistant-records-and-information-management-officer-iii-kenya-rural-roads-authority,0
Senior Knowledge Management Officer at Kenya Rural Roads Authority,https://www.myjobmag.co.ke/job/senior-knowledge-management-officer-kenya-rural-roads-authority,0
ICT Officer II - 2 Posts at Kenya Rural Roads Authority,https://www.myjobmag.co.ke/job/ict-officer-ii-2-posts-kenya-rural-roads-authority,0
Principal ICT Offcier (Database & Application) at Kenya Rural Roads Authority,https://www.myjobmag.co.ke/job/principal-ict-offcier-database-application-kenya-rural-roads-authority,0
Principal ICT Officer (Network & Infrastructure) at Kenya Rural Roads Authority,https://www.myjobmag.co.ke/job/principal-ict-officer-network-infrastructure-kenya-rural-roads-authority,0
ICT Technician at Cascade Institute of Hospitality,https://www.myjobmag.co.ke/job/ict-technician-cascade-institute-of-hospitality,0
Principal Library Assistant at Kenya Rural Roads Authority,https://www.myjobmag.co.ke/job/principal-library-assistant-kenya-rural-roads-authority,0
Assistant Vocational and Technical Trainer II- Business Information Technology at Public Service Commission Kenya (PSCK),https://www.myjobmag.co.ke/job/assistant-vocational-and-technical-trainer-ii-business-information-technology-public-service-commission-kenya-psck,0
Data Center Engineer at MSVL Group,https://www.myjobmag.co.ke/job/data-center-engineer-msvl-group,0
Data Protection & Quality Assurance Officer at Kenya Network Information Centre (KENIC),https://www.myjobmag.co.ke/job/data-protection-quality-assurance-officer-kenya-network-information-centre-kenic,0
Executive Director – Laser Infrastructure & Technology Solutions (LITES) at CPF Consulting,https://www.myjobmag.co.ke/job/executive-director-laser-infrastructure-technology-solutions-lites-cpf-consulting,0
IT Support and Technical Officer at Kenya GOLF Union,https://www.myjobmag.co.ke/job/it-support-and-technical-officer-kenya-golf-union,0
Software Developer - 6 Posts at University of Nairobi,https://www.myjobmag.co.ke/job/software-developer-6-posts-university-of-nairobi,0
Assistant Librarian - Library & Information Science at Zetech University,https://www.myjobmag.co.ke/job/assistant-librarian-library-information-science-zetech-university-2,0
Tutorial Fellow - Information Technology - 9 Posts at Zetech University,https://www.myjobmag.co.ke/job/tutorial-fellow-information-technology-9-posts-zetech-university-1,0
