title,link,relevance_score,company
"Statistics & Monitoring Manager (Nutrition in Emergencies), P-4, Office of Strategy & Evidence, DAPM - Data and Analytics, Temporary Position, #00135596, 364 days, Nairobi Outpost (Deadline: Check Link)",https://jobs.unicef.org/en-us/job/588960/statistics-monitoring-manager-nutrition-in-emergencies-p4-office-of-strategy-evidence-dapm-data-and-analytics-temporary-position-00135596-364-days-nairobi-outpost,100,UNICEF - Global
"Emergency Specialist (Access), P-4, TA 364 days, MENA Regional Office, Amman, Jordan (Deadline: Check Link)",https://jobs.unicef.org/en-us/job/588981/emergency-specialist-access-p4-ta-364-days-mena-regional-office-amman-jordan,85,UNICEF - Global
Internal/External -Advertisement-Contract Officer P2 Temporary Appointment 364 days- Port Sudan (Deadline: Check Link),https://jobs.unicef.org/en-us/job/588805/internalexternal-advertisementcontract-officer-p2-temporary-appointment-364-days-port-sudan,85,UNICEF - Global
"International Adolescent Life Skills Education Consultant (Home Based), 83 working days (For non-Ethiopian nationals only) (Deadline: Check Link)",https://jobs.unicef.org/en-us/job/588980/international-adolescent-life-skills-education-consultant-home-based-83-working-days-for-nonethiopian-nationals-only,85,UNICEF - Global
Home-based in Czechia: Consultant for Pathways (CESTY) Programme Sustainability (73 working days) - ECARO (Deadline: Check Link),https://jobs.unicef.org/en-us/job/588968/homebased-in-czechia-consultant-for-pathways-cesty-programme-sustainability-73-working-days-ecaro,85,UNICEF - Global
"International Consultant: Technical and Coordination Expert to Support WASH Cluster Ukraine’s Sub-National Clusters (Dnipro, Ukraine), 11.5 months (Office-based) (Deadline: Check Link)",https://jobs.unicef.org/en-us/job/588969/international-consultant-technical-and-coordination-expert-to-support-wash-cluster-ukraines-subnational-clusters-dnipro-ukraine-115-months-officebased,85,UNICEF - Global
"People and Culture Officer (P2), #135761 (Temporary Appointment- 364 days), Amman- UNICEF Jordan Country Office, MENA ( Open for non Jordanians only) (Deadline: Check Link)",https://jobs.unicef.org/en-us/job/588953/people-and-culture-officer-p2-135761-temporary-appointment-364-days-amman-unicef-jordan-country-office-mena-open-for-non-jordanians-only,85,UNICEF - Global
"Individual National Consultant – Information Management, Documentation and Reporting Consultant (Deadline: Check Link)",https://jobs.unicef.org/en-us/job/588952/individual-national-consultant-information-management-documentation-and-reporting-consultant,85,UNICEF - Global
"Communication Specialist (NOC) Temporary Appointment (9 months). Bishkek, Kyrgyzstan #134651 (Deadline: Check Link)",https://jobs.unicef.org/en-us/job/585284/communication-specialist-noc-temporary-appointment-9-months-bishkek-kyrgyzstan-134651,85,UNICEF - Global
Consultancy for Strengthening Capacity and Supervision in Aftercare Services for Children in Alternative Care (588958) (Deadline: Check Link),https://jobs.unicef.org/en-us/job/588958/consultancy-for-strengthening-capacity-and-supervision-in-aftercare-services-for-children-in-alternative-care-588958,85,UNICEF - Global
"Education Specialist (Learning to Earning), (NO-3), Fixed Term, New Delhi, India (Internal/External) (Deadline: Check Link)",https://jobs.unicef.org/en-us/job/584004/education-specialist-learning-to-earning-no3-fixed-term-new-delhi-india-internalexternal,85,UNICEF - Global
"Education Specialist (Learning to Earning), (NO-3), Fixed Term, New Delhi, India (Deadline: Check Link)",https://jobs.unicef.org/en-us/job/588951/education-specialist-learning-to-earning-no3-fixed-term-new-delhi-india,85,UNICEF - Global
"Programme Manager (AAP), P4, Temporary Appointment (364 days), Port Sudan, Sudan #135754- (Open to non-Sudanese only) (Deadline: Check Link)",https://jobs.unicef.org/en-us/job/588962/programme-manager-aap-p4-temporary-appointment-364-days-port-sudan-sudan-135754-open-to-nonsudanese-only,85,UNICEF - Global
"Consultancy: Risk Management and Implementing Partnership Projects, Amman, MENA Regional Office (Deadline: Check Link)",https://jobs.unicef.org/en-us/job/588954/consultancy-risk-management-and-implementing-partnership-projects-amman-mena-regional-office,85,UNICEF - Global
"Re-advertisement: Security Officer, (NO-1), Sokoto Nigeria #00133640 (Deadline: Check Link)",https://jobs.unicef.org/en-us/job/588938/readvertisement-security-officer-no1-sokoto-nigeria-00133640,85,UNICEF - Global
"Re-advertisement: Administrative Associate (Protocol & Events), GS6, Abuja, Nigeria #133630 (Fixed Term) (Deadline: Check Link)",https://jobs.unicef.org/en-us/job/588971/readvertisement-administrative-associate-protocol-events-gs6-abuja-nigeria-133630-fixed-term,85,UNICEF - Global
Consultancy: Senior Advisor (Branding/Visibility/ Fundraising) for Gulf Area Office with travel across GCC countries as required/For 6 Months( Part time) (Deadline: Check Link),https://jobs.unicef.org/en-us/job/588948/consultancy-senior-advisor-brandingvisibility-fundraising-for-gulf-area-office-with-travel-across-gcc-countries-as-requiredfor-6-months-part-time,85,UNICEF - Global
"Consultancy Recruitment: Consultant to Document the Silatech-supported Employment Pathways for Youth in Egypt, 54 days, MENARO-Jordan, Blended/Home based and in person in Amman (Deadline: Check Link)",https://jobs.unicef.org/en-us/job/588949/consultancy-recruitment-consultant-to-document-the-silatechsupported-employment-pathways-for-youth-in-egypt-54-days-menarojordan-blendedhome-based-and-in-person-in-amman,85,UNICEF - Global
"Nutrition Specialist Sector Coordinator, P-3, Temporary Appointment (6-month), Farchana, Chad (Deadline: Check Link)",https://jobs.unicef.org/en-us/job/588975/nutrition-specialist-sector-coordinator-p3-temporary-appointment-6month-farchana-chad,85,UNICEF - Global
"Education Sector Coordination International Consultant – Education Sector Thematic Working Group, ACO, 6 months (Deadline: Check Link)",https://jobs.unicef.org/en-us/job/588955/education-sector-coordination-international-consultant-education-sector-thematic-working-group-aco-6-months,85,UNICEF - Global
Actuarial Intern at ACRE Africa,https://www.myjobmag.co.ke/job/actuarial-intern-acre-africa-1,80,
Internship – Data Analysis & Reporting Assistant at DanChurchAid (DCA),https://www.myjobmag.co.ke/job/internship-data-analysis-reporting-assistant-danchurchaid-dca-1,80,
"GRADUATE INTERNS – ACCOUNTS, REAL ESTATE, COMMUNICATION & ADMINISTRATION",https://www.brightermonday.co.ke/listings/graduate-interns-accounts-real-estate-communication-administration-gwvzvr,70,
Uganda Data and Systems Lead (Fixed-Term),https://reliefweb.int/job/4192464/uganda-data-and-systems-lead-fixed-term,50,
"Human resources, talent development, recruiting,",https://www.fuzu.com/kenya/job/human-resources,20,
"Human Resource Graduate Trainee Programme (2026 Intake), (Consulting Industry)",https://www.brightermonday.co.ke/listings/human-resource-graduate-trainee-programme-2026-intake-5dm5x5,20,
"Information technology, software development, data,",https://www.fuzu.com/kenya/job/computers-software-development,20,
"Computers, software development and services,",https://www.fuzu.com/kenya/job/computers-software,20,
"Government, community development, public services,",https://www.fuzu.com/kenya/job/government-community-development-public-services,20,
"Data/Research,",https://www.fuzu.com/kenya/job/data-research,20,
Recruitment and Staff Welfare Manager,https://www.brightermonday.co.ke/listings/recruitment-and-staff-welfare-manager-vw2qej,0,
Sales Beautician,https://www.brightermonday.co.ke/listings/sales-beautician-jqnw0v,0,
ICT Technician at Cascade Institute of Hospitality,https://www.myjobmag.co.ke/job/ict-technician-cascade-institute-of-hospitality,0,
Principal ICT Officer (Network & Infrastructure) at Kenya Rural Roads Authority,https://www.myjobmag.co.ke/job/principal-ict-officer-network-infrastructure-kenya-rural-roads-authority,0,
Principal ICT Offcier (Database & Application) at Kenya Rural Roads Authority,https://www.myjobmag.co.ke/job/principal-ict-offcier-database-application-kenya-rural-roads-authority,0,
Senior Knowledge Management Officer at Kenya Rural Roads Authority,https://www.myjobmag.co.ke/job/senior-knowledge-management-officer-kenya-rural-roads-authority,0,
Principal Library Assistant at Kenya Rural Roads Authority,https://www.myjobmag.co.ke/job/principal-library-assistant-kenya-rural-roads-authority,0,
ICT Officer II - 2 Posts at Kenya Rural Roads Authority,https://www.myjobmag.co.ke/job/ict-officer-ii-2-posts-kenya-rural-roads-authority,0,
ICT Assistant III - 3 Posts at Kenya Rural Roads Authority,https://www.myjobmag.co.ke/job/ict-assistant-iii-3-posts-kenya-rural-roads-authority,0,
Assistant Records and Information Management Officer III at Kenya Rural Roads Authority,https://www.myjobmag.co.ke/job/assistant-records-and-information-management-officer-iii-kenya-rural-roads-authority,0,
Product Manager at Umba,https://www.myjobmag.co.ke/job/product-manager-umba-6,0,
Senior Software Engineer-LMS (Loan Management System) & MIS (Management Information System) at Pezesha,https://www.myjobmag.co.ke/job/senior-software-engineer-lms-loan-management-system-mis-management-information-system-pezesha,0,
Information Science - 2 Posts at Council of Legal Education,https://www.myjobmag.co.ke/job/information-science-2-posts-council-of-legal-education,0,
Archives and Records Management - 2 Posts at Council of Legal Education,https://www.myjobmag.co.ke/job/archives-and-records-management-2-posts-council-of-legal-education,0,
Data & Insights Officer at Dignitas,https://www.myjobmag.co.ke/job/data-insights-officer-dignitas,0,
"Business Analyst (Data Scientist), Regulatory Technology (Business Analyst 2) at Central Bank of Kenya",https://www.myjobmag.co.ke/job/business-analyst-data-scientist-regulatory-technology-business-analyst-2-central-bank-of-kenya,0,
"Business Analyst 2, Data Analytics (Business Analyst 2) at Central Bank of Kenya",https://www.myjobmag.co.ke/job/business-analyst-2-data-analytics-business-analyst-2-central-bank-of-kenya,0,
Sales Engineer at Senga Technologies,https://www.myjobmag.co.ke/job/sales-engineer-senga-technologies-1,0,
Customer Service,https://www.brightermonday.co.ke/listings/customer-service-r8g5k2,0,
ACCOUNTANT & PRINCIPAL OFFICER,https://www.brightermonday.co.ke/listings/accountant-principal-officer-d754z2,0,
Front Desk Concierge,https://www.brightermonday.co.ke/listings/front-desk-concierge-9jpw6v,0,
SENIOR MECHANIC,https://www.brightermonday.co.ke/listings/senior-mechanic-np4240,0,
SALESPERSON/SHOP ATTENDANT (ELECTRONICS & HOME APPLIANCES),https://www.brightermonday.co.ke/listings/salespersonshop-attendant-r8g824,0,
RIDER (ELECTRIONICS & HOME APPLIANCES),https://www.brightermonday.co.ke/listings/rider-4nxnjm,0,
Business Development Executives – Commercial & Industrial (Solar Solutions) - 11 openings,https://www.brightermonday.co.ke/listings/business-development-executives-commercial-industrial-solar-solutions-11-openings-k8w8rz,0,
Digital Marketing & Communications Manager,https://www.brightermonday.co.ke/listings/digital-marketing-communications-manager-204dqg,0,
Sales Executive,https://www.brightermonday.co.ke/listings/sales-executive-7wkm5q,0,
Waste Kiosk Operator - Pipeline,https://www.brightermonday.co.ke/listings/waste-kiosk-operator-pipeline-pmx76j,0,
Procurement & Storage Manager,https://www.brightermonday.co.ke/listings/procurement-storage-manager-jqnwr5,0,
Zonal Field Operations Manager,https://www.brightermonday.co.ke/listings/zonal-field-operations-manager-mgz4pg,0,
"Jobs in Embu,",https://www.fuzu.com/kenya/job/embu,0,
"Jobs in Mombasa,",https://www.fuzu.com/kenya/job/mombasa,0,
Assistant Vocational and Technical Trainer II- Business Information Technology at Public Service Commission Kenya (PSCK),https://www.myjobmag.co.ke/job/assistant-vocational-and-technical-trainer-ii-business-information-technology-public-service-commission-kenya-psck,0,
"Jobs in Nairobi,",https://www.fuzu.com/kenya/job/nairobi,0,
"Energy, power,",https://www.fuzu.com/kenya/job/energy-power,0,
"Electrical engineering,",https://www.fuzu.com/kenya/job/electrical-engineering,0,
"Design, arts,",https://www.fuzu.com/kenya/job/design-arts,0,
"Customer support, client care,",https://www.fuzu.com/kenya/job/customer-support-client-care,0,
