Title,Link,Relevance_score
Accountant,https://www.brightermonday.co.ke/listings/the-sales-account-manager-6dgmgp,0
Sales Beautician,https://www.brightermonday.co.ke/listings/sales-beautician-jqnw0v,0
"Human Resource Graduate Trainee Programme (2026 Intake), (Consulting Industry)",https://www.brightermonday.co.ke/listings/human-resource-graduate-trainee-programme-2026-intake-5dm5x5,20
Recruitment and Staff Welfare Manager,https://www.brightermonday.co.ke/listings/recruitment-and-staff-welfare-manager-vw2qej,0
Sales Executive,https://www.brightermonday.co.ke/listings/sales-executive-7wkm5q,0
Zonal Field Operations Manager,https://www.brightermonday.co.ke/listings/zonal-field-operations-manager-mgz4pg,0
Procurement & Storage Manager,https://www.brightermonday.co.ke/listings/procurement-storage-manager-jqnwr5,0
Waste Kiosk Operator - Pipeline,https://www.brightermonday.co.ke/listings/waste-kiosk-operator-pipeline-pmx76j,0
Digital Marketing & Communications Manager,https://www.brightermonday.co.ke/listings/digital-marketing-communications-manager-204dqg,0
"GRADUATE INTERNS – ACCOUNTS, REAL ESTATE, COMMUNICATION & ADMINISTRATION",https://www.brightermonday.co.ke/listings/graduate-interns-accounts-real-estate-communication-administration-gwvzvr,70
Business Development Executives – Commercial & Industrial (Solar Solutions) - 11 openings,https://www.brightermonday.co.ke/listings/business-development-executives-commercial-industrial-solar-solutions-11-openings-k8w8rz,0
RIDER (ELECTRIONICS & HOME APPLIANCES),https://www.brightermonday.co.ke/listings/rider-4nxnjm,0
SALESPERSON/SHOP ATTENDANT (ELECTRONICS & HOME APPLIANCES),https://www.brightermonday.co.ke/listings/salespersonshop-attendant-r8g824,0
SENIOR MECHANIC,https://www.brightermonday.co.ke/listings/senior-mechanic-np4240,0
Front Desk Concierge,https://www.brightermonday.co.ke/listings/front-desk-concierge-9jpw6v,0
ACCOUNTANT & PRINCIPAL OFFICER,https://www.brightermonday.co.ke/listings/accountant-principal-officer-d754z2,0
Sales Engineer at Senga Technologies,https://www.myjobmag.co.ke/job/sales-engineer-senga-technologies-1,0
Head of Quality & Service Excellence at CloudFactory,https://www.myjobmag.co.ke/job/head-of-quality-service-excellence-cloudfactory,0
"Business Analyst 2, Data Analytics (Business Analyst 2) at Central Bank of Kenya",https://www.myjobmag.co.ke/job/business-analyst-2-data-analytics-business-analyst-2-central-bank-of-kenya,0
"Business Analyst (Data Scientist), Regulatory Technology (Business Analyst 2) at Central Bank of Kenya",https://www.myjobmag.co.ke/job/business-analyst-data-scientist-regulatory-technology-business-analyst-2-central-bank-of-kenya,0
Archives and Records Management - 2 Posts at Council of Legal Education,https://www.myjobmag.co.ke/job/archives-and-records-management-2-posts-council-of-legal-education,0
Information Science - 2 Posts at Council of Legal Education,https://www.myjobmag.co.ke/job/information-science-2-posts-council-of-legal-education,0
Assistant Records and Information Management Officer III at Kenya Rural Roads Authority,https://www.myjobmag.co.ke/job/assistant-records-and-information-management-officer-iii-kenya-rural-roads-authority,0
ICT Assistant III - 3 Posts at Kenya Rural Roads Authority,https://www.myjobmag.co.ke/job/ict-assistant-iii-3-posts-kenya-rural-roads-authority,0
ICT Officer II - 2 Posts at Kenya Rural Roads Authority,https://www.myjobmag.co.ke/job/ict-officer-ii-2-posts-kenya-rural-roads-authority,0
Principal Library Assistant at Kenya Rural Roads Authority,https://www.myjobmag.co.ke/job/principal-library-assistant-kenya-rural-roads-authority,0
Senior Knowledge Management Officer at Kenya Rural Roads Authority,https://www.myjobmag.co.ke/job/senior-knowledge-management-officer-kenya-rural-roads-authority,0
Principal ICT Offcier (Database & Application) at Kenya Rural Roads Authority,https://www.myjobmag.co.ke/job/principal-ict-offcier-database-application-kenya-rural-roads-authority,0
Principal ICT Officer (Network & Infrastructure) at Kenya Rural Roads Authority,https://www.myjobmag.co.ke/job/principal-ict-officer-network-infrastructure-kenya-rural-roads-authority,0
Data & Insights Officer at Dignitas,https://www.myjobmag.co.ke/job/data-insights-officer-dignitas,0
Senior Software Engineer-LMS (Loan Management System) & MIS (Management Information System) at Pezesha,https://www.myjobmag.co.ke/job/senior-software-engineer-lms-loan-management-system-mis-management-information-system-pezesha,0
Product Manager at Umba,https://www.myjobmag.co.ke/job/product-manager-umba-6,0
ICT Technician at Cascade Institute of Hospitality,https://www.myjobmag.co.ke/job/ict-technician-cascade-institute-of-hospitality,0
Assistant Vocational and Technical Trainer II- Business Information Technology at Public Service Commission Kenya (PSCK),https://www.myjobmag.co.ke/job/assistant-vocational-and-technical-trainer-ii-business-information-technology-public-service-commission-kenya-psck,0
Internship – Data Analysis & Reporting Assistant at DanChurchAid (DCA),https://www.myjobmag.co.ke/job/internship-data-analysis-reporting-assistant-danchurchaid-dca-1,80
Safety Advisor-Nord-Kivu,https://reliefweb.int/job/4192494/safety-advisor-nord-kivu,0
Grants Officer - SAIC2,https://reliefweb.int/job/4192490/grants-officer-saic2,0
EMERGENCY RESPONSE TRAINING (ERT) OPS/LOG LEAD FACILITATOR (BASED IN ANY OCBA HUB),https://reliefweb.int/job/4192482/emergency-response-training-ert-opslog-lead-facilitator-based-any-ocba-hub,0
EMERGENCY RESPONSE TRAINING (ERT) MEDICAL LEAD FACILITATOR (BASED IN ANY OCBA HUB),https://reliefweb.int/job/4192470/emergency-response-training-ert-medical-lead-facilitator-based-any-ocba-hub,0
Uganda Data and Systems Lead (Fixed-Term),https://reliefweb.int/job/4192464/uganda-data-and-systems-lead-fixed-term,50
EXPERTE OU EXPERT FINANCE RÉGIONAL - POOL MOYEN-ORIENT - FRANCE,https://reliefweb.int/job/4192439/experte-ou-expert-finance-regional-pool-moyen-orient-france,0
